Paper ID,Ref ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,...12
188.000000,120.000000,10.1139/z86-288,Anarhichas lupus,preys on,Abietinaria abietina,eastern Newfoundland,46.66666667,-52.83333333,,NA,NA,NA
192.000000,124.000000,10.1016/j.jembe.2011.12.011,Hemigrapsus sanguineus,preyed upon by,Abietinaria abietina,CT,41.32,-72.06,,NA,NA,NA
246.000000,"A34: Lowestoft, UK. Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp. Accessed on 19 Mar 2019.",NA,Pholis gunnellus,preys on,Abludomelita obtusata,"Lowestoft, UK",NA,NA,,NA,NA,NA
374.000000,,10.1139/z81-304,Melanogrammus aeglefinus,parasitized by,Abothrium gadi,Scotian Shelf,44.300148,-63.625368,1975-1980,NA,NA,NA
367.000000,,10.1111/jfb.13494,Melanogrammus aeglefinus,preys on,Abra,Celtic Sea,48.9071244,-12.3270947,2014-2015,NA,NA,NA
422.000000,,10.1111/j.1095-8649.2010.02657.x,Melanogrammus aeglefinus,preys on,Abra nitida,northern North Sea,58.04856,2.578114,2007.000000,NA,NA,NA
1066.000000,,NA,Ulva flexuosa,preyed upon by,Abudefduf saxatilis,Navy’s Trident Turning Basin,28.417988,-80.595885,2008-2009,NA,NA,NA
1066.000000,,NA,Ulva prolifera,preyed upon by,Abudefduf saxatilis,Navy’s Trident Turning Basin,28.417988,-80.595885,2008-2009,NA,NA,NA
1090.000000,,10.1086/691068,Balanus glandula,preyed upon by,Acanthinucella spirata,"Lachuza Point, Malibu, California",34.0352778,-119.142143,2008.000000,NA,NA,NA
1097.000000,,10.31979/etd.ud63-2yjx,Balanus glandula,preyed upon by,Acanthinucella spirata,"Arroyo Hondo, California",34.372677,-119.734733,1996-1997,NA,NA,NA
1117.000000,,10.1007/BF00393043,Balanus glandula,preyed upon by,Acanthinucella spirata,Palos Verdes,33.7587324,-118.394865,1981-1982,NA,NA,NA
463.000000,,NA,Schizoporella unicornis,preyed upon by,Acanthodoris pilosa,NA,NA,NA,,NA,NA,NA
471.000000,,10.2307/2116,Schizoporella unicornis,preys on,Acanthodoris pilosa,Isle of Man,54.042831,-4.912744,1955-1957,NA,NA,NA
544.000000,,10.1016/j.dsr.2013.05.016,Hippasteria phrygiana,preys on,Acanthogorgia hirsuta,Newfoundland and Labrador,50.272919,-54.19574,2005-2011,NA,NA,NA
655.000000,,NA,Ostrea edulis,preyed upon by,Acanthopagrus schlegelii schlegelii,"Tolo Harbour, Hong Kong",22.441408,114.204553,1978-1980,NA,NA,NA
655.000000,,NA,Ulva flexuosa,preyed upon by,Acanthopagrus schlegelii schlegelii,"Tolo Harbour, Hong Kong",22.441408,114.204553,1978-1980,NA,NA,NA
655.000000,,NA,Ulva prolifera,preyed upon by,Acanthopagrus schlegelii schlegelii,"Tolo Harbour, Hong Kong",22.441408,114.204553,1978-1980,NA,NA,NA
308.000000,,NA,Buccinum undatum,parasitized by,Acanthopsolus lageniformis,"Northumberland, Collercoats, England",55.043305,-1.395394,1910.000000,NA,NA,NA
1218.000000,,NA,Ceramium deslongchampsii,preyed upon by,Acanthurus nigrofuscus,"Eilat, Israel",40.7553618,-73.989416,1982.000000,NA,NA,NA
1059.000000,,NA,Ulva linza,preyed upon by,Acanthurus triostegus,"Los Frailes reef, Baja California Sur, Mexico",23.4002557,-110.5526942,2004-2005,NA,NA,NA
915.000000,,NA,Ulvaria subbifurcata,preys on,Acari,"Collection Cove, Avalon Peninsula",47.7500135,-53.5603028,1969.000000,NA,NA,NA
210.000000,136.000000,10.1093/plankt/fbr104,Ammodytes,preys on,Acartia,Gulf of St Lawrence,50,-63.5,,NA,NA,NA
420.000000,,10.1111/j.1095-8649.2011.02997.x,Melanogrammus aeglefinus,preys on,Acartia,Stonehaven Bay,56.9653112,-2.2059063,2004-2005,NA,NA,NA
904.000000,,10.1139/f97-225,Ulvaria subbifurcata,preys on,Acartia (Acartiura) longiremis,"Conception Bay, Canada",47.513964,-53.032688,1995.000000,NA,NA,NA
382.000000,,10.1111/j.1095-8649.1980.tb03750.x,Melanogrammus aeglefinus,preys on,Acartia clausi,Rockall Bank,56.935973,-9.380911,1967-1968,NA,NA,NA
