sourceTaxonId,sourceTaxonName,Taxonomic Level,EOL ID,WORMS ID,Common Name,Specify More,Done = 1,Added as new agents,Notes,Aggregated taxa,reported,search term,...14,...15,...16,...17,...18,who searched,date(s) searched
NA,Abietinaria abietina,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,"AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,
NA,Agarum clathratum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ahnfeltia plicata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Alaria esculenta,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Alcyonium digitatum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Amphipod tube mat,Order,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipod tube mat AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Anarhichas lupus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Anguilla rostrata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Anomia simplex,Species,NA,NA,NA,NA,1,NA,NA,Anomia,NA,done,NA,NA,NA,NA,NA,NA,
NA,Anomia peruviana,Species,NA,NA,NA,NA,1,NA,NA,Anomia,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Heteranomia squamula,Species,NA,NA,NA,NA,1,NA,NA,Heteranomia,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Aplidium pallidum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Arbacia punctulata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Arthrocladia villosa,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ascidiella aspersa,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ascophyllum nodosum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Asterias forbesii,Asterias forbesi,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Asterias rubens,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Astrangia danae,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Astrangia poculata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Barnacle sp.,Class,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barnacle sp. AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Blady Ulvoid,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blady Ulvoid AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Boltenia echinata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Boltenia ovifera,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Bonnemaisonia hamifera,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Botrylloides violaceus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Botryllus schlosseri,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Buccinum undatum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Bugula neritina,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Bugula neritina,Species,NA,NA,NA,NA,1,NA,NA,Bugula,NA,done,NA,NA,NA,NA,NA,NA,
NA,Bugula turrita,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Busycon carica,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Busycotypus canaliculatum,Busycotypus canaliculatus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Cabera ellisii,Caberea ellisii,Species,NA,NA,NA,NA,1,NA,Check backwards from here for synonyms,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Callinectes sapidus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Calliostoma occidentale,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cancer borealis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cancer irroratus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cancer plebejus,Species,NA,NA,NA,NA,1,NA,NA,Cancer,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Cancer productus,Species,NA,NA,NA,NA,1,NA,NA,Cancer,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Carcharias taurus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Carcinus maenas,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Centropristis striata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ceramium cimbricum,Species,NA,NA,NA,NA,1,NA,found nothing,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium deslongchampsii,Species,NA,NA,NA,NA,1,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium tenuicorne,Species,NA,NA,NA,NA,1,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium arborescens,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium siliquosum var. elegans,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium diaphanum,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium botryocarpum,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium capricornu,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium pedicellatum,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ceramium circinatum,Species,NA,NA,NA,NA,NA,NA,NA,Ceramium spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Cerianthus borealis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Chondrus crispus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Chorda filum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ciona intestinalis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Ciona savingyi,Ciona savignyi,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Clathromorphum circumscriptum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cliona celata,Species,NA,NA,NA,NA,1,NA,NA,Cliona,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cliona undulata,Species,NA,NA,NA,NA,1,NA,NA,Cliona,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Cliona lobata,Species,NA,NA,NA,NA,1,NA,NA,Cliona,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Coccotylus truncatus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Codium fragile,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Colpomenia peregrina,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Corallina officinalis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Crassostrea virginica,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Crepidula fornicata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Crisia eburnea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Crossaster papposus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cucumaria frondosa,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cyclopterus lumpus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Cystoclonium purpureum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Dendrobeania murrayana,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Dendrodoa carnea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Desmarestia aculeata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Desmarestia viridis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Diadumene lineata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Diatom Tube Mat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diatom Tube Mat AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Didemnum albidum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Didemnum vexillum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Diplosoma listerianum,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Dumontia contorta,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Echinarachnius parma,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ectopleura grandis,Species,NA,NA,NA,NA,1,NA,found nothing,Ectopleura,NA,done,NA,NA,NA,NA,NA,NA,
NA,Electra pilosa,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Encrusting coralline,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Encrusting Sponge,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting Sponge AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Eumicrotremus spinosus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Euthora cristata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Fargesia lineata,Fagesia lineata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Filamentous Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Filamentous Green AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Gadus morhua,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Gersemia rubiformis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Halichondria panicea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Haliclona oculata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Haliclystus auricula,Species,NA,NA,NA,NA,NA,NA,NA,Haliclystus spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Haliclystus salpinx,Species,NA,NA,NA,NA,NA,NA,NA,Haliclystus spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Haliclystus tenuis,Species,NA,NA,NA,NA,NA,NA,NA,Haliclystus spp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Halisarca dujardini,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Halocynthia pyriformis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Halosiphon tomentosus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Hemigrapsus sanguineus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Hemitripterus americanus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Henricia sanguinolenta,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Heterosiphonia japonica,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Hildenbrandia rubra,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
