SITE,YEAR,TRANSECT,SPECIES
Baker North,2014,1,Anomia
Baker North,2014,1,Anomia peruviana
Baker North,2014,1,Anomia simplex
Baker North,2014,1,Asterias rubens
Baker North,2014,1,Barnacle
Baker North,2014,1,Botrylloides violaceus
Baker North,2014,1,Botryllus schlosseri
Baker North,2014,1,Cancer borealis
Baker North,2014,1,Cancer irroratus
Baker North,2014,1,Chondrus crispus
Baker North,2014,1,Cliona
Baker North,2014,1,Cliona celata
Baker North,2014,1,Cliona lobata
Baker North,2014,1,Cliona undulata
Baker North,2014,1,Corallina officinalis
Baker North,2014,1,Crepidula fornicata
Baker North,2014,1,Desmarestia aculeata
Baker North,2014,1,Desmarestia viridis
Baker North,2014,1,Diatom Tube Mat
Baker North,2014,1,Didemnum vexillum
Baker North,2014,1,Encrusting coralline
Baker North,2014,1,Heterosiphonia japonica
Baker North,2014,1,Hildenbrandia rubra
Baker North,2014,1,Homarus americanus
Baker North,2014,1,Lichenopora verrucaria
Baker North,2014,1,Lithophyllum spp.
Baker North,2014,1,Mastocarpus stellatus
Baker North,2014,1,Membranipora membranacea
Baker North,2014,1,Myoxocephalus
Baker North,2014,1,Myoxocephalus scorpioides
Baker North,2014,1,Mytilus edulis
Baker North,2014,1,Pholis gunnellus
Baker North,2014,1,Phycodrys rubens
Baker North,2014,1,Pollachius virens
Baker North,2014,1,Polysiphonia
Baker North,2014,1,Polysiphonia arctica
Baker North,2014,1,Polysiphonia flexicaulis
Baker North,2014,1,Polysiphonia subtilissima
Baker North,2014,1,Red Algal Turf
Baker North,2014,1,Saccharina latissima
Baker North,2014,1,Unidentified Red Blade
Baker North,2014,2,Anomia
Baker North,2014,2,Anomia peruviana
Baker North,2014,2,Anomia simplex
Baker North,2014,2,Barnacle
Baker North,2014,2,Botrylloides violaceus
Baker North,2014,2,Cancer borealis
Baker North,2014,2,Cancer irroratus
Baker North,2014,2,Ceramium
Baker North,2014,2,Chondrus crispus
Baker North,2014,2,Cliona
Baker North,2014,2,Cliona celata
Baker North,2014,2,Cliona lobata
Baker North,2014,2,Cliona undulata
Baker North,2014,2,Corallina officinalis
Baker North,2014,2,Crepidula fornicata
Baker North,2014,2,Cystoclonium purpureum
Baker North,2014,2,Desmarestia aculeata
Baker North,2014,2,Desmarestia viridis
Baker North,2014,2,Diatom Tube Mat
Baker North,2014,2,Didemnum vexillum
Baker North,2014,2,Encrusting coralline
Baker North,2014,2,Halichondria  panicea
Baker North,2014,2,Heterosiphonia japonica
Baker North,2014,2,Homarus americanus
Baker North,2014,2,Lithophyllum spp.
Baker North,2014,2,Mastocarpus stellatus
Baker North,2014,2,Membranipora membranacea
Baker North,2014,2,Myoxocephalus
Baker North,2014,2,Myoxocephalus scorpioides
Baker North,2014,2,Pholis gunnellus
Baker North,2014,2,Phycodrys rubens
Baker North,2014,2,Pollachius virens
Baker North,2014,2,Polysiphonia
Baker North,2014,2,Polysiphonia arctica
Baker North,2014,2,Polysiphonia flexicaulis
Baker North,2014,2,Polysiphonia subtilissima
Baker North,2014,2,Red Algal Turf
